BRAND,8월 26일,8월 27일,8월 28일,8월 29일,8월 30일
Take-out,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지,7종샐러드팩/단호박견과류꿀단지
Take-out,소불고기도시락,닭고기부추볶음도시락,제육콩나물볶음도시락,오삼불고기도시락,떡갈비엿장구이도시락
Take-out,닭갈비볶음밥도시락,파인애플함박스테이크도시락,중국식볶음밥&자장도시락,치킨스테이크도시락,훈제오리볶음밥도시락
Take-out,아보카도견과류도시락,연근검정콩도시락,체리키위도시락,새우살마늘도시락,블루베리사과도시락
고슬고슬비빈,뿌리채소영양밥&양념장,뿌리채소영양밥&양념장,뿌리채소영양밥&양념장,뿌리채소영양밥&양념장,뿌리채소영양밥&양념장
고슬고슬비빈,돌솥치즈날치알밥,돌솥치즈날치알밥,돌솥치즈날치알밥,돌솥치즈날치알밥,돌솥치즈날치알밥
Chef's Count,레인보우야채볼,토마토프리타타,레인보우야채볼,감자그라탕,치킨샌드위치
Chef's Count,파프리카불고기볶음밥,닭고기덮밥,들깨닭곰탕,주꾸미볶음덮밥,버섯전골
싱푸차이나,해물자장덮밥,해물자장덮밥,해물자장덮밥,해물자장덮밥,해물자장덮밥
싱푸차이나,고추짬뽕,고추짬뽕,고추짬뽕,고추짬뽕,고추짬뽕
우리미각면,오징어쫄면,오징어쫄면,오징어쫄면,오징어쫄면,오징어쫄면
우리미각면,진주물냉면,진주물냉면,진주물냉면,진주물냉면,진주물냉면
나폴리폴리,투움바파스타,투움바파스타,투움바파스타,투움바파스타,투움바파스타
나폴리폴리,하와이안조각피자,하와이안조각피자,하와이안조각피자,하와이안조각피자,하와이안조각피자
아시안픽스,베지터블차나달커리&고로케,베지터블차나달커리&고로케,베지터블차나달커리&고로케,베지터블차나달커리&고로케,베지터블차나달커리&고로케
아시안픽스,똠양쌀국수,똠양쌀국수,똠양쌀국수,똠양쌀국수,똠양쌀국수
